"subscription_id","customer_id","plan_name","monthly_fee","status","start_date","discount_percent"
125,mflLZZ,Roam,80,Active,"2023-01-01",5
126,DFWUSC,Residential,120,Active,"2023-01-01",10
127,Ao67Gx,Residential,120,Active,"2023-01-01",20
128,MJKnI3,Residential,120,Active,"2023-01-01",0
129,YsyvAz,Residential,120,Cancelled,"2023-01-01",5
130,oYfy4T,Mini,50,Active,"2023-01-01",10
131,MubBYr,Residential,120,Active,"2023-01-01",20
132,TIAae2,Roam,80,Active,"2023-01-01",0
133,uo4967,Mini,50,Active,"2023-01-01",5
134,"2qIL62",Residential,120,Active,"2023-01-01",10
135,"749qwB",Residential,120,Cancelled,"2023-01-01",20
136,jdMBL1,Residential,120,Active,"2023-01-01",0
137,YZZRb0,Mini,50,Active,"2023-01-01",5
138,ASBpXd,Business,250,Active,"2023-01-01",10
139,UaPKxN,Residential,120,Paused,"2023-01-01",20
140,ldIuVy,Business,250,Cancelled,"2023-01-01",0
141,"3jNwyC",Residential,120,Active,"2023-01-01",5
142,zV8ZOW,Roam,80,Cancelled,"2023-01-01",10
143,AzvCnT,Roam,80,Paused,"2023-01-01",20
144,EtTQc8,Residential,120,Active,"2023-01-01",0
145,EDBxdF,Residential,120,Active,"2023-01-01",5
146,gqrRCk,Residential,120,Active,"2023-01-01",10
147,EGNZjm,Roam,80,Cancelled,"2023-01-01",20
148,fmRXFd,Roam,80,Active,"2023-01-01",0
149,UZd81y,Residential,120,Paused,"2023-01-01",5
150,lTanMI,Roam,80,Active,"2023-01-01",10
151,"6gpKSk",Roam,80,Active,"2023-01-01",20
152,IgeqG9,Residential,120,Active,"2023-01-01",0
153,gPCnNQ,Roam,80,Active,"2023-01-01",5
154,"2eebFb",Residential,120,Cancelled,"2023-01-01",10
155,HUdKF0,Residential,120,Active,"2023-01-01",20
156,TeLYHt,Residential,120,Paused,"2023-01-01",0
157,zhjpzs,Roam,80,Active,"2023-01-01",5
158,laFSE5,Residential,120,Active,"2023-01-01",10
159,uQyYFl,Roam,80,Active,"2023-01-01",20
160,tGYkNs,Roam,80,Active,"2023-01-01",0
161,"8UzJKM",Residential,120,Active,"2023-01-01",5
162,"0NdDMg",Residential,120,Active,"2023-01-01",10
163,cdnIaH,Residential,120,Active,"2023-01-01",20
164,YHf5JE,Residential,120,Active,"2023-01-01",0
165,g7ef2x,Residential,120,Active,"2023-01-01",5
166,G47T4t,Residential,120,Active,"2023-01-01",10
167,US8Rgz,Residential,120,Active,"2023-01-01",20
168,"5AHSDs",Residential,120,Paused,"2023-01-01",0
169,D44hdr,Roam,80,Active,"2023-01-01",5
170,"1spjgJ",Residential,120,Active,"2023-01-01",10
171,FzG17Q,Residential,120,Active,"2023-01-01",20
172,niHSPa,Residential,120,Active,"2023-01-01",0
173,zTxjgf,Roam,80,Active,"2023-01-01",5
174,"5Rp7jx",Roam,80,Active,"2023-01-01",10
175,qpga3J,Mini,50,Cancelled,"2023-01-01",20
176,A3NujT,Roam,80,Active,"2023-01-01",0
177,Omw2b2,Residential,120,Active,"2023-01-01",5
178,"6gSwbO",Business,250,Active,"2023-01-01",10
179,Kwh90X,Business,250,Active,"2023-01-01",20
180,UKKHP9,Residential,120,Active,"2023-01-01",0
181,QHr2uc,Roam,80,Active,"2023-01-01",5
182,vfnXiz,Residential,120,Active,"2023-01-01",10
183,CXP9K6,Mini,50,Cancelled,"2023-01-01",20
184,"83lmRx",Roam,80,Active,"2023-01-01",0
185,"7XXu6I",Residential,120,Active,"2023-01-01",5
186,Rde5Cs,Roam,80,Paused,"2023-01-01",10
187,hmYEjN,Roam,80,Active,"2023-01-01",20
188,ywDfg2,Residential,120,Active,"2023-01-01",0
189,V6IS4Z,Residential,120,Active,"2023-01-01",5
190,apRE6v,Residential,120,Cancelled,"2023-01-01",10
191,FVjyoU,Residential,120,Active,"2023-01-01",20
192,dLAPyz,Residential,120,Active,"2023-01-01",0
193,RCN3u6,Business,250,Active,"2023-01-01",5
194,xToSn7,Business,250,Active,"2023-01-01",10
195,"2eT86p",Residential,120,Active,"2023-01-01",20
196,"1FhXsP",Residential,120,Active,"2023-01-01",0
197,oI5ONf,Residential,120,Paused,"2023-01-01",5
198,mnF1gp,Business,250,Active,"2023-01-01",10
199,teiwEY,Residential,120,Active,"2023-01-01",20
200,Q7iLWc,Residential,120,Active,"2023-01-01",0
201,zcqtRQ,Residential,120,Active,"2023-01-01",5
202,xlUaBG,Residential,120,Paused,"2023-01-01",10
203,eQLJTZ,Residential,120,Active,"2023-01-01",20
204,NeTdzk,Residential,120,Active,"2023-01-01",0
205,SSPmhI,Residential,120,Cancelled,"2023-01-01",5
206,z9sMvz,Residential,120,Active,"2023-01-01",10
207,uXPzoy,Residential,120,Active,"2023-01-01",20
208,Gzx8nI,Residential,120,Active,"2023-01-01",0
209,dIVoag,Mini,50,Cancelled,"2023-01-01",5
210,"3MsHar",Residential,120,Active,"2023-01-01",10
211,i0P2O3,Roam,80,Active,"2023-01-01",20
212,F4d4Ec,Residential,120,Paused,"2023-01-01",0
213,YhKp6P,Business,250,Active,"2023-01-01",5
214,KntHwl,Roam,80,Active,"2023-01-01",10
215,SH9gZU,Business,250,Active,"2023-01-01",20
216,"6FK3Xr",Residential,120,Active,"2023-01-01",0
217,ttnWXb,Roam,80,Active,"2023-01-01",5
218,yVfwEH,Business,250,Active,"2023-01-01",10
219,cMK1A7,Roam,80,Active,"2023-01-01",20
220,XfVqCb,Roam,80,Active,"2023-01-01",0
221,ujuym1,Residential,120,Active,"2023-01-01",5
222,u482Sf,Business,250,Active,"2023-01-01",10
223,udrSZK,Residential,120,Active,"2023-01-01",20
224,BzPoBr,Roam,80,Active,"2023-01-01",0
225,F0B702,Residential,120,Active,"2023-01-01",5
226,PCq5fA,Roam,80,Active,"2023-01-01",10
227,i87MB9,Residential,120,Active,"2023-01-01",20
228,uwX586,Roam,80,Active,"2023-01-01",0
229,i0sRFh,Residential,120,Paused,"2023-01-01",5
230,sQShcx,Residential,120,Active,"2023-01-01",10
231,DTiRbK,Residential,120,Active,"2023-01-01",20
232,NKGqpe,Mini,50,Paused,"2023-01-01",0
233,Lvc9sR,Business,250,Active,"2023-01-01",5
234,HfrNiP,Residential,120,Cancelled,"2023-01-01",10
235,Al4Le0,Business,250,Active,"2023-01-01",20
236,G2WGBZ,Residential,120,Active,"2023-01-01",0
237,yLOBsa,Residential,120,Active,"2023-01-01",5
238,X3OUjL,Roam,80,Paused,"2023-01-01",10
239,K0rjC2,Residential,120,Active,"2023-01-01",20
240,alXiUZ,Residential,120,Cancelled,"2023-01-01",0
241,GlGpMl,Residential,120,Active,"2023-01-01",5
242,hFgMm6,Roam,80,Cancelled,"2023-01-01",10
243,Dwswc3,Business,250,Active,"2023-01-01",20
244,AkxZFW,Roam,80,Active,"2023-01-01",0
245,BK5HoB,Business,250,Active,"2023-01-01",5
246,y6AwIg,Business,250,Active,"2023-01-01",10
247,JAMdsn,Residential,120,Active,"2023-01-01",20
248,ZeKGZR,Residential,120,Paused,"2023-01-01",0
249,iSnDBF,Residential,120,Active,"2023-01-01",5
250,T2Rmo3,Residential,120,Active,"2023-01-01",10
251,UtINcq,Residential,120,Active,"2023-01-01",20
252,GSWsIJ,Residential,120,Active,"2023-01-01",0
253,uNZJSo,Residential,120,Active,"2023-01-01",5
254,"2NRMbn",Residential,120,Cancelled,"2023-01-01",10
255,We4EMg,Residential,120,Cancelled,"2023-01-01",20
256,"7KNSD7",Residential,120,Active,"2023-01-01",0
257,N9JttA,Roam,80,Active,"2023-01-01",5
258,D6kyrt,Residential,120,Active,"2023-01-01",10
259,xIA58W,Residential,120,Active,"2023-01-01",20
260,uR4Mss,Business,250,Active,"2023-01-01",0
261,TUm1jt,Residential,120,Paused,"2023-01-01",5
262,FtnluE,Residential,120,Active,"2023-01-01",10
263,sdBMbS,Residential,120,Cancelled,"2023-01-01",20
264,If94Ch,Residential,120,Cancelled,"2023-01-01",0
265,xWQdFR,Residential,120,Active,"2023-01-01",5
266,"1a5BQ7",Business,250,Active,"2023-01-01",10
267,yo9NvU,Residential,120,Cancelled,"2023-01-01",20
268,k7fRai,Residential,120,Paused,"2023-01-01",0
269,rO3vq1,Residential,120,Active,"2023-01-01",5
270,"8rb8M0",Residential,120,Active,"2023-01-01",10
271,NIYnqK,Residential,120,Active,"2023-01-01",20
272,"08gCUl",Residential,120,Paused,"2023-01-01",0
273,"9CikK2",Residential,120,Active,"2023-01-01",5
274,feoDzN,Residential,120,Active,"2023-01-01",10
275,eLNWUA,Mini,50,Active,"2023-01-01",20
276,mOGfCQ,Residential,120,Active,"2023-01-01",0
277,pt2W0i,Residential,120,Active,"2023-01-01",5
278,"2atowO",Residential,120,Active,"2023-01-01",10
279,WhtauC,Residential,120,Active,"2023-01-01",20
280,EXfnQs,Residential,120,Active,"2023-01-01",0
281,Ehv1zJ,Residential,120,Active,"2023-01-01",5
282,xrGsAX,Residential,120,Active,"2023-01-01",10
283,Wq3SL0,Mini,50,Active,"2023-01-01",20
284,yshA6P,Residential,120,Active,"2023-01-01",0
285,"5yHrJg",Residential,120,Active,"2023-01-01",5
286,d3Nyrg,Roam,80,Paused,"2023-01-01",10
287,bHELNy,Roam,80,Active,"2023-01-01",20
288,crAnCx,Residential,120,Active,"2023-01-01",0
289,zFlrhJ,Residential,120,Active,"2023-01-01",5
290,YVgSEm,Residential,120,Active,"2023-01-01",10
291,f9ZLg4,Residential,120,Active,"2023-01-01",20
292,AhDVRq,Roam,80,Active,"2023-01-01",0
293,uf1zcC,Roam,80,Cancelled,"2023-01-01",5
294,V9t8yh,Residential,120,Active,"2023-01-01",10
295,rcZqUG,Residential,120,Active,"2023-01-01",20
296,Nwuq1n,Residential,120,Paused,"2023-01-01",0
297,Sta4zK,Residential,120,Active,"2023-01-01",5
298,"48cSLs",Business,250,Active,"2023-01-01",10
299,LvZdP1,Residential,120,Active,"2023-01-01",20
300,JWhoRl,Residential,120,Active,"2023-01-01",0
301,OBbEDy,Residential,120,Active,"2023-01-01",5
302,L2bfbA,Residential,120,Active,"2023-01-01",10
303,RlEFAp,Residential,120,Paused,"2023-01-01",20
304,YaXRvj,Roam,80,Active,"2023-01-01",0
305,GetH3X,Residential,120,Active,"2023-01-01",5
306,zHyzrU,Roam,80,Active,"2023-01-01",10
307,pvkuUE,Residential,120,Active,"2023-01-01",20
308,b0plEO,Residential,120,Active,"2023-01-01",0
309,dmiQPG,Business,250,Active,"2023-01-01",5
310,yMB5xt,Residential,120,Active,"2023-01-01",10
311,AsLdvX,Business,250,Active,"2023-01-01",20
312,GLkHhr,Roam,80,Active,"2023-01-01",0
313,FMzsqW,Residential,120,Active,"2023-01-01",5
314,"3h5llz",Residential,120,Active,"2023-01-01",10
315,"0ZJ6ZS",Residential,120,Active,"2023-01-01",20
316,zATKhb,Residential,120,Active,"2023-01-01",0
317,"7kHvqx",Residential,120,Active,"2023-01-01",5
318,lxaTc3,Mini,50,Active,"2023-01-01",10
319,rQc7Ly,Business,250,Cancelled,"2023-01-01",20
320,IfxJvL,Residential,120,Active,"2023-01-01",0
321,nGSZLz,Business,250,Paused,"2023-01-01",5
322,Nti9uF,Residential,120,Active,"2023-01-01",10
323,Ud48e1,Residential,120,Active,"2023-01-01",20
324,wqFthI,Residential,120,Active,"2023-01-01",0
325,palOtB,Roam,80,Paused,"2023-01-01",5
326,rv8P9i,Residential,120,Active,"2023-01-01",10
327,U0Yqqd,Roam,80,Active,"2023-01-01",20
328,L4tEtM,Roam,80,Cancelled,"2023-01-01",0
329,eAr6EV,Residential,120,Active,"2023-01-01",5
330,Pm1mza,Mini,50,Active,"2023-01-01",10
331,jhTdV5,Roam,80,Active,"2023-01-01",20
332,lv7Tbk,Residential,120,Active,"2023-01-01",0
333,ItoxqU,Roam,80,Active,"2023-01-01",5
334,QMo5RN,Business,250,Active,"2023-01-01",10
335,"5xFRaW",Residential,120,Active,"2023-01-01",20
336,Cka3O7,Residential,120,Active,"2023-01-01",0
337,LBzJZh,Residential,120,Active,"2023-01-01",5
338,zNMugI,Residential,120,Active,"2023-01-01",10
339,iJuHug,Residential,120,Active,"2023-01-01",20
340,aHm8sB,Business,250,Active,"2023-01-01",0
341,"68TXHK",Roam,80,Active,"2023-01-01",5
342,Sgpo9s,Mini,50,Cancelled,"2023-01-01",10
343,SKumPu,Residential,120,Active,"2023-01-01",20
344,ZZTGCe,Roam,80,Active,"2023-01-01",0
345,DcMA0y,Mini,50,Paused,"2023-01-01",5
346,"35FH7t",Residential,120,Paused,"2023-01-01",10
347,Eyn3hn,Mini,50,Active,"2023-01-01",20
348,upqoU7,Residential,120,Active,"2023-01-01",0
349,LjTXmL,Mini,50,Active,"2023-01-01",5
350,vwDVKU,Residential,120,Active,"2023-01-01",10
351,vslScP,Residential,120,Cancelled,"2023-01-01",20
352,S6LFeB,Business,250,Active,"2023-01-01",0
353,Ocbj1l,Business,250,Active,"2023-01-01",5
354,tMKbAj,Residential,120,Active,"2023-01-01",10
355,lFC5bp,Residential,120,Paused,"2023-01-01",20
356,WnNZkv,Mini,50,Active,"2023-01-01",0
357,KyFlzt,Residential,120,Active,"2023-01-01",5
358,p2d8zo,Roam,80,Cancelled,"2023-01-01",10
359,"1wKWKu",Residential,120,Active,"2023-01-01",20
360,eVQJSA,Roam,80,Active,"2023-01-01",0
361,"8NakB1",Residential,120,Active,"2023-01-01",5
362,NApHsj,Residential,120,Active,"2023-01-01",10
363,K9dTNi,Residential,120,Active,"2023-01-01",20
364,"6isOfD",Residential,120,Active,"2023-01-01",0
365,pogSV5,Business,250,Active,"2023-01-01",5
366,O2Eplz,Residential,120,Active,"2023-01-01",10
367,"5jC7ac",Residential,120,Active,"2023-01-01",20
368,"7SgOmQ",Residential,120,Cancelled,"2023-01-01",0
369,sl8q5N,Residential,120,Active,"2023-01-01",5
370,a8JU6w,Roam,80,Active,"2023-01-01",10
371,hpLycL,Residential,120,Active,"2023-01-01",20
372,P1503G,Residential,120,Active,"2023-01-01",0
373,OaG6Ye,Mini,50,Active,"2023-01-01",5
374,"8bg9Rv",Residential,120,Paused,"2023-01-01",10
375,LPhVoo,Residential,120,Active,"2023-01-01",20
376,QOfMXS,Roam,80,Active,"2023-01-01",0
377,FIIRmm,Roam,80,Cancelled,"2023-01-01",5
378,V2zWwC,Residential,120,Active,"2023-01-01",10
379,J5GUsg,Roam,80,Active,"2023-01-01",20
380,"6w4UOL",Residential,120,Active,"2023-01-01",0
381,MFmvti,Business,250,Active,"2023-01-01",5
382,xXLnDD,Residential,120,Active,"2023-01-01",10
383,DyQE4e,Residential,120,Paused,"2023-01-01",20
384,LCq0J0,Business,250,Active,"2023-01-01",0
385,LGc1FR,Residential,120,Cancelled,"2023-01-01",5
386,ftyyrd,Residential,120,Active,"2023-01-01",10
387,EsXucp,Residential,120,Active,"2023-01-01",20
388,fHlTbR,Residential,120,Active,"2023-01-01",0
389,iWUM6G,Residential,120,Active,"2023-01-01",5
390,VXowX9,Business,250,Paused,"2023-01-01",10
391,V8JE7x,Residential,120,Active,"2023-01-01",20
392,VZZOEL,Residential,120,Active,"2023-01-01",0
393,bWVa4O,Mini,50,Active,"2023-01-01",5
394,ws6nue,Roam,80,Active,"2023-01-01",10
395,kvHCTn,Roam,80,Active,"2023-01-01",20
396,jWJNJj,Roam,80,Active,"2023-01-01",0
397,DWrJ9f,Residential,120,Active,"2023-01-01",5
398,lt9kNK,Residential,120,Active,"2023-01-01",10
399,AHkxv7,Residential,120,Active,"2023-01-01",20
400,"7zlbTP",Residential,120,Active,"2023-01-01",0
401,Fm8ttD,Residential,120,Active,"2023-01-01",5
402,WU0YWV,Mini,50,Active,"2023-01-01",10
403,e16rRP,Business,250,Active,"2023-01-01",20
404,OA9x14,Residential,120,Active,"2023-01-01",0
405,RWmz5g,Business,250,Active,"2023-01-01",5
406,"59rLtG",Residential,120,Active,"2023-01-01",10
407,ysD1ZN,Residential,120,Cancelled,"2023-01-01",20
408,JCarhu,Residential,120,Active,"2023-01-01",0
409,J03IV2,Residential,120,Cancelled,"2023-01-01",5
410,Zl7Cgh,Residential,120,Active,"2023-01-01",10
411,LRUAbh,Residential,120,Active,"2023-01-01",20
412,jI205z,Residential,120,Active,"2023-01-01",0
413,aToDbt,Roam,80,Active,"2023-01-01",5
414,nlvw9R,Residential,120,Active,"2023-01-01",10
415,"2ExHgD",Residential,120,Paused,"2023-01-01",20
416,aFxMPM,Roam,80,Active,"2023-01-01",0
417,VaI5z5,Mini,50,Active,"2023-01-01",5
418,CsLSx0,Mini,50,Active,"2023-01-01",10
419,eN59UA,Residential,120,Active,"2023-01-01",20
420,rdsi6C,Residential,120,Active,"2023-01-01",0
421,TOAW5p,Residential,120,Paused,"2023-01-01",5
422,KJRSYn,Roam,80,Active,"2023-01-01",10
423,tToqsf,Residential,120,Active,"2023-01-01",20
424,"8BQCtf",Residential,120,Active,"2023-01-01",0
425,p7HmUA,Roam,80,Active,"2023-01-01",5
426,HivBNs,Residential,120,Cancelled,"2023-01-01",10
427,Eg7pAa,Residential,120,Active,"2023-01-01",20
428,akwcY4,Residential,120,Paused,"2023-01-01",0
429,gZFSOf,Residential,120,Active,"2023-01-01",5
430,AxTGQG,Residential,120,Active,"2023-01-01",10
431,tUzAPw,Residential,120,Cancelled,"2023-01-01",20
432,tTThRR,Residential,120,Active,"2023-01-01",0
433,SHHUcu,Roam,80,Active,"2023-01-01",5
434,fVlajJ,Business,250,Active,"2023-01-01",10
435,aRn6Bl,Roam,80,Active,"2023-01-01",20
436,b05ab3,Residential,120,Active,"2023-01-01",0
437,xLGja3,Residential,120,Active,"2023-01-01",5
438,g8lPXm,Residential,120,Active,"2023-01-01",10
439,C7y9F0,Residential,120,Active,"2023-01-01",20
440,ueP5vw,Roam,80,Paused,"2023-01-01",0
441,iQ5Vrx,Residential,120,Active,"2023-01-01",5
442,FReuv1,Residential,120,Cancelled,"2023-01-01",10
443,WtPfrl,Roam,80,Active,"2023-01-01",20
444,Cz3Nkn,Residential,120,Paused,"2023-01-01",0
445,hLlJrV,Mini,50,Active,"2023-01-01",5
446,i9lmEZ,Residential,120,Active,"2023-01-01",10
447,"4eyyur",Residential,120,Active,"2023-01-01",20
448,qv7Obb,Business,250,Active,"2023-01-01",0
449,trjcs8,Roam,80,Active,"2023-01-01",5
450,iC8bzV,Residential,120,Active,"2023-01-01",10
451,jFu6W7,Residential,120,Active,"2023-01-01",20
452,LuKjlQ,Residential,120,Active,"2023-01-01",0
453,u5XJrS,Roam,80,Active,"2023-01-01",5
454,obK18T,Residential,120,Active,"2023-01-01",10
455,zUgNCZ,Business,250,Active,"2023-01-01",20
456,nmcLug,Residential,120,Active,"2023-01-01",0
457,Amm4Wv,Roam,80,Active,"2023-01-01",5
458,H9x10k,Residential,120,Active,"2023-01-01",10
459,ZGGu16,Business,250,Active,"2023-01-01",20
460,YTCbdN,Roam,80,Active,"2023-01-01",0
461,NbOJqd,Residential,120,Active,"2023-01-01",5
462,nex7oj,Residential,120,Active,"2023-01-01",10
463,foqqDP,Mini,50,Active,"2023-01-01",20
464,"8it6mt",Mini,50,Active,"2023-01-01",0
465,r5jGAi,Residential,120,Active,"2023-01-01",5
466,fDCjLk,Residential,120,Active,"2023-01-01",10
467,RxUuQo,Roam,80,Cancelled,"2023-01-01",20
468,pIGSbJ,Roam,80,Paused,"2023-01-01",0
469,ex4dPz,Mini,50,Active,"2023-01-01",5
470,uct8Fa,Roam,80,Active,"2023-01-01",10
471,tUAkjH,Residential,120,Active,"2023-01-01",20
472,WZKgVZ,Roam,80,Paused,"2023-01-01",0
473,QQA4FU,Residential,120,Active,"2023-01-01",5
474,Vnygxy,Residential,120,Active,"2023-01-01",10
475,"6Y5ihw",Roam,80,Paused,"2023-01-01",20
476,oQ5r3T,Mini,50,Active,"2023-01-01",0
477,R4g63S,Residential,120,Active,"2023-01-01",5
478,agxNOs,Roam,80,Active,"2023-01-01",10
479,Xg5qo4,Residential,120,Active,"2023-01-01",20
480,XktJDv,Residential,120,Active,"2023-01-01",0
481,BoVOM0,Residential,120,Active,"2023-01-01",5
482,qWg6eu,Residential,120,Active,"2023-01-01",10
483,tGABeR,Roam,80,Active,"2023-01-01",20
484,"6yvT8G",Residential,120,Active,"2023-01-01",0
485,PFg3Fm,Residential,120,Active,"2023-01-01",5
486,MSJaeR,Residential,120,Cancelled,"2023-01-01",10
487,pePUW5,Residential,120,Active,"2023-01-01",20
488,beBH26,Residential,120,Active,"2023-01-01",0
489,B6Umeu,Roam,80,Active,"2023-01-01",5
490,WY4Vcl,Roam,80,Active,"2023-01-01",10
491,rJqEz2,Residential,120,Active,"2023-01-01",20
492,VEUVB5,Mini,50,Active,"2023-01-01",0
